id,observed_on,time_observed_at,time_zone,quality_grade,url,image_url,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,place_guess,latitude,longitude,geoprivacy,taxon_geoprivacy,place_town_name,place_county_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_family_name,taxon_genus_name,taxon_species_name
104132188,1/1/22,2022-01-01 13:17:59 UTC,UTC,research,https://www.inaturalist.org/observations/104132188,https://static.inaturalist.org/photos/175137924/medium.jpg,,1,0,FALSE,"Tilden Nature Area, Orinda, CA, US",37.91252719,-122.2526461,,open,,Contra Costa,common cowparsnip,Heracleum maximum,common cowparsnip,Plantae,53094,Apiaceae,Heracleum,Heracleum maximum
104139507,1/1/22,2022-01-01 14:54:56 UTC,UTC,research,https://www.inaturalist.org/observations/104139507,https://static.inaturalist.org/photos/177963827/medium.jpg,,1,0,FALSE,"Tilden Regional Park, Orinda, CA, US",37.89728903,-122.2406239,,open,,Contra Costa,common cowparsnip,Heracleum maximum,common cowparsnip,Plantae,53094,Apiaceae,Heracleum,Heracleum maximum
104253911,1/2/22,2022-01-02 16:09:23 UTC,UTC,research,https://www.inaturalist.org/observations/104253911,https://static.inaturalist.org/photos/174666393/medium.jpg,,1,0,FALSE,"Tilden Nature Area, El Sobrante, CA, US",37.91887,-122.2624667,,,,Contra Costa,California beeplant,Scrophularia californica,California beeplant,Plantae,50812,Scrophulariaceae,Scrophularia,Scrophularia californica
104295464,1/3/22,2022-01-03 19:52:11 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/104295464,https://inaturalist-open-data.s3.amazonaws.com/photos/174770186/medium.jpeg,,1,0,FALSE,"Orinda, CA 94563, USA",37.8851182,-122.2238579,,,,Contra Costa,California yerba santa,Eriodictyon californicum,California yerba santa,Plantae,57095,Boraginaceae,Eriodictyon,Eriodictyon californicum
104310315,1/3/22,2022-01-03 12:39:05 UTC,UTC,research,https://www.inaturalist.org/observations/104310315,https://inaturalist-open-data.s3.amazonaws.com/photos/174756589/medium.jpg,,1,0,FALSE,"Tilden Regional Park, Orinda, CA, US",37.90208833,-122.24482,,open,,Contra Costa,cardo mariano,Silybum marianum,milk thistle,Plantae,52586,Asteraceae,Silybum,Silybum marianum
104310463,1/3/22,2022-01-03 11:09:11 UTC,UTC,research,https://www.inaturalist.org/observations/104310463,https://inaturalist-open-data.s3.amazonaws.com/photos/174756793/medium.jpg,,1,0,FALSE,"Tilden Regional Park, Orinda, CA, US",37.89006167,-122.2338033,,,,Contra Costa,Common Calamint,Clinopodium menthifolium ascendens,Common Calamint,Plantae,360165,Lamiaceae,Clinopodium,Clinopodium menthifolium
104315065,1/3/22,2022-01-03 23:59:37 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/104315065,https://inaturalist-open-data.s3.amazonaws.com/photos/174766043/medium.jpeg,,2,0,FALSE,Vollmer Peak Trail,37.88382241,-122.2247089,,open,,Contra Costa,European holly,Ilex aquifolium,European holly,Plantae,53856,Aquifoliaceae,Ilex,Ilex aquifolium
104342452,1/3/22,2022-01-03 11:10:26 UTC,UTC,research,https://www.inaturalist.org/observations/104342452,https://inaturalist-open-data.s3.amazonaws.com/photos/174818293/medium.jpg,,1,0,FALSE,"Tilden Regional Park, Orinda, CA, US",37.890125,-122.233855,,,,Contra Costa,Wood Calamint,Clinopodium menthifolium,Wood Calamint,Plantae,360164,Lamiaceae,Clinopodium,Clinopodium menthifolium
104349191,1/2/22,2022-01-02 13:58:38 UTC,UTC,research,https://www.inaturalist.org/observations/104349191,https://inaturalist-open-data.s3.amazonaws.com/photos/174831170/medium.jpg,,1,0,FALSE,"Tilden Regional Park, Orinda, CA, US",37.89020539,-122.235379,,,,Contra Costa,Spanish Broom,Spartium junceum,Spanish Broom,Plantae,47406,Fabaceae,Spartium,Spartium junceum
104387754,1/4/22,2022-01-04 23:10:41 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/104387754,https://inaturalist-open-data.s3.amazonaws.com/photos/174901156/medium.jpeg,,1,0,FALSE,"Kensington, CA, USA",37.90639975,-122.2640804,,,,Contra Costa,Cardo común,Cirsium vulgare,Bull Thistle,Plantae,52989,Asteraceae,Cirsium,Cirsium vulgare
